USERID	CHECKTIME	CHECKTYPE	VERIFYCODE	SENSORID	Memoinfo	WorkCode	sn	UserExtFmt
1	6/9/2026 8:27:43 am	I	1	1		0		0
1	6/9/2026 9:18:19 am	I	15	1		0		0
1	6/9/2026 9:36:51 am	I	15	1		0		0
1	6/9/2026 11:28:45 am	I	15	1		0		0
1	6/10/2026 12:53:01 pm	I	15	1		0		0
1	6/10/2026 5:11:21 pm	I	15	1		0		0
1	6/11/2026 12:04:15 pm	I	15	1		0		0
1	6/11/2026 12:33:23 pm	I	15	1		0		0
1	6/15/2026 8:18:18 am	I	1	1		0		0
1	6/15/2026 6:07:24 pm	O	1	1		0		0
1	6/16/2026 8:32:57 am	I	1	1		0		0
1	6/16/2026 8:41:58 am	I	1	1		0		0
1	6/16/2026 6:03:25 pm	O	1	1		0		0
1	6/17/2026 8:15:29 am	I	1	1		0		0
1	6/17/2026 5:57:39 pm	O	1	1		0		0
1	6/18/2026 8:10:30 am	I	1	1		0		0
1	6/18/2026 8:17:16 am	I	1	1		0		0
1	6/18/2026 5:57:07 pm	O	1	1		0		0
1	6/19/2026 8:27:10 am	I	1	1		0		0
2	6/9/2026 8:29:35 am	I	1	1		0		0
2	6/9/2026 9:40:32 am	I	15	1		0		0
2	6/11/2026 5:09:37 pm	I	1	1		0		0
2	6/12/2026 1:42:04 pm	I	1	1		0		0
2	6/12/2026 1:53:33 pm	I	1	1		0		0
2	6/15/2026 8:20:19 am	I	1	1		0		0
2	6/16/2026 8:39:55 am	I	1	1		0		0
2	6/16/2026 5:20:13 pm	O	1	1		0		0
2	6/17/2026 8:36:00 am	I	1	1		0		0
2	6/18/2026 8:27:53 am	I	1	1		0		0
2	6/18/2026 5:31:22 pm	O	1	1		0		0
2	6/19/2026 8:28:22 am	I	1	1		0		0
2	6/29/2026 8:26:08 pm	O	1	1		0		0
2	6/30/2026 8:55:23 am	I	1	1		0		0
3	6/9/2026 11:28:12 am	I	15	1		0		0
3	6/9/2026 11:59:44 am	I	15	1		0		0
3	6/9/2026 12:29:49 pm	I	15	1		0		0
3	6/9/2026 5:02:22 pm	I	1	1		0		0
3	6/10/2026 6:59:40 am	I	1	1		0		0
3	6/10/2026 12:00:16 pm	I	15	1		0		0
3	6/10/2026 12:45:51 pm	I	15	1		0		0
3	6/10/2026 5:00:36 pm	I	15	1		0		0
3	6/11/2026 7:49:05 am	I	15	1		0		0
3	6/11/2026 12:01:00 pm	I	1	1		0		0
3	6/11/2026 12:19:44 pm	I	15	1		0		0
3	6/11/2026 5:01:41 pm	I	1	1		0		0
3	6/16/2026 8:23:34 am	I	1	1		0		0
3	6/16/2026 5:12:42 pm	O	1	1		0		0
3	6/17/2026 5:16:21 pm	O	1	1		0		0
3	6/18/2026 8:33:33 am	I	1	1		0		0
3	6/18/2026 5:16:54 pm	O	1	1		0		0
3	6/19/2026 8:10:21 am	I	1	1		0		0
3	6/30/2026 7:40:28 am	I	64	1		0		0
4	6/9/2026 12:14:02 pm	I	1	1		0		0
4	6/9/2026 5:12:08 pm	I	15	1		0		0
4	6/10/2026 7:18:05 am	I	15	1		0		0
4	6/10/2026 12:02:30 pm	I	15	1		0		0
4	6/10/2026 12:23:27 pm	I	15	1		0		0
4	6/10/2026 5:01:01 pm	I	1	1		0		0
4	6/11/2026 7:16:50 am	I	15	1		0		0
4	6/11/2026 12:03:34 pm	I	15	1		0		0
4	6/11/2026 12:21:02 pm	I	15	1		0		0
4	6/11/2026 5:01:01 pm	I	1	1		0		0
4	6/30/2026 7:55:57 am	I	1	1		0		0
5	6/9/2026 12:15:48 pm	I	15	1		0		0
5	6/10/2026 7:19:38 am	I	1	1		0		0
5	6/10/2026 12:03:03 pm	I	15	1		0		0
5	6/10/2026 12:30:31 pm	I	1	1		0		0
5	6/10/2026 5:01:09 pm	I	1	1		0		0
5	6/11/2026 7:12:45 am	I	1	1		0		0
